drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
CF10-239,-28.162871,83.076441,2010,2010-01-01,Citronen Fjord - Discovery Zone,Ironbark Zinc Limited,2007/02,155.56
SRK_TR1,-44.949829,61.193459,2010,2010-01-01,"Motzfeldt, Aries Prospect",Ram Resources,2010/46,1515.0
ISU 09-17,-49.748505,65.212391,2009,2009-08-24,Isua (Isukasia),London Mining Plc.,2009/16,1176.67
NUN 06-04,-51.222213,71.091486,2006,2006-06-01,Black Angel - Nunngarut Prospect,Angus & Ross Plc.,2005/05,684.0
NAL B095,-44.848775,60.357057,2007,2007-01-01,Nalunaq,Crew Gold Corporation,2002/03,588.92
ECP086,-45.871484,60.866463,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,18.38
CF08-173,-28.477587,83.097921,2008,2008-01-01,Citronen Fjord - Esrum Zone,Ironbark Zinc Limited,2007/02,175.93
CF10-212,-28.302252,83.098035,2010,2010-01-01,Citronen Fjord - Beach Zone,Ironbark Zinc Limited,2007/02,6.72
QUS-08 DDH-03,-51.12085,64.6691,2008,2008-06-23,Qussuk - Plateau,NunaMinerals A/S,2007/59,694.0
QUS-09 DDH-42,-51.11317,64.78306,2009,2009-09-03,Qussuk - Swan Zone,NunaMinerals A/S,2007/59,232.37
GL-08-55,-50.320358,63.011164,2008,2008-01-01,Aappaluttoq,True north Gems,2006/01,233.9
MQ-16-123,-51.584326,65.079528,2016,2016-08-22,P-032,North American Nickel Inc.,2011/54,249.24
87050,-37.747001,65.585416,2005,2005-07-09,Ammassalik,Inco Technical Services Ltd.,2003/14,299.0
MYR 06-02,-51.059427,71.10383,2006,2006-06-01,Black Angel - Myers East,Angus & Ross Plc.,2005/05,515.0
KVA N023,-45.865513,60.968094,2011,2011-01-01,"Ilimausaq, Zone 3",Greenland Minerals and Energy Ltd.,2010/02,672.0
ISU 11-03,-49.755506,65.202318,2011,2011-08-08,Isua (Isukasia),London Mining Plc.,2009/16,1152.0
IQ13-007,-52.019363,66.826293,2013,2013-07-14,Ikertoq,Northern Shield Resources Inc.,2010/17,455.24
L210-09-17,-45.0502,60.22075,2009,2009-06-21,Lake 210 Delta,NunaMinerals A/S,2006/10,214.0
NAL 01-082,-44.842952,60.355745,2001,2001-07-08,Nalunaq,Crew Develoment Corporation,04/97,535.21
MAL 07-17282,-24.26965,71.958533,2007,2007-07-30,Malmbjerg,Quadra FNX Mining Ltd.,2004/17,719.3
MQ-16-128,-51.581545,65.07919,2016,2016-08-28,P-032,North American Nickel Inc.,2011/54,197.44
SAR 11-47,-51.320723,66.528307,2011,2011-07-29,Sarfartoq - ST-1 east,Hudson Resources Inc.,2010/40,670.84
GLA 07-70,-50.984694,71.111765,2007,2007-06-01,Black Angel - Glacier Zone,Angus & Ross Plc.,2005/05,524.0
ECP088,-45.871367,60.866383,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,21.21
SAR 10-26,-51.26897,66.452291,2010,2010-08-29,Sarfartoq - ST19,Hudson Resources Inc.,2002/06,431.0
NAL 300-03T,-44.837766,60.357571,2004,2004-01-01,Nalunaq,Crew Gold Corporation,2002/03,310.13
MQ-17-134,-51.528282,65.278415,2017,2017-06-17,P-013SE,North American Nickel Inc.,2011/54,302.9
NAL 18-09,-44.834577,60.354567,2018,2018-01-01,Nalunaq,AEX Gold Inc.,2003/05,305.0
KVA 190,-46.004258,60.974507,2008,2008-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,531.46
KVA 192,-45.992814,60.971408,2008,2008-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,614.44
MQ-15-090,-51.581691,65.080239,2015,2015-08-08,P-032,North American Nickel Inc.,2011/54,200.0
GL-07-46,-50.320685,63.01069,2007,2007-09-03,Aappaluttoq,True north Gems,2006/01,230.0
STQ 05-23,-51.084079,64.412883,2005,2005-08-28,Storø - Qingaaq,NunaMinerals A/S,2002/07,526.0
STQ 10-51,-51.08301,64.414168,2010,2010-06-23,Storø - Qingaaq,NunaMinerals A/S,2002/07,480.0
CF10-276,-28.132811,83.073942,2010,2010-01-01,Citronen Fjord - Discovery Zone,Ironbark Zinc Limited,2007/02,201.69
NAL 05-149,-44.84686,60.35721,2005,2005-01-01,Nalunaq,Crew Gold Corporation,2002/03,742.0
KVA 4S,-45.972891,60.978406,2009,2009-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,513.6
ISS 07,-47.43116,60.96407,2012,2012-05-01,Isortoq South,West Melville Metals Inc.,2009/15,51.86
GR-05-06,-51.240484,66.655181,2005,2005-01-01,Uniiviit - Smile Lake,Metalex Ventures Ltd.,2004/04,
GR-05-10,-51.240173,66.655756,2005,2005-01-01,Uniiviit - Smile Lake,Metalex Ventures Ltd.,2004/04,
CAS 010,-63.467999,80.238716,2011,2011-08-31,Cass Fjord - Hilltop,Ironbark Zinc Limited,2007/33,333.0
NAL B144,-44.844942,60.359871,2008,2008-01-19,Nalunaq,Crew Gold Corporation,2002/03,625.48
NAL 17-12,-44.833482,60.356128,2017,2017-01-01,Nalunaq,AEX Gold Inc.,2003/05,304.0
KVA 076,-45.997165,60.974439,2007,2007-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,593.74
MQ-12-002,-51.486042,65.436814,2012,2012-08-28,Imiak Hill,North American Nickel Inc.,2011/54,546.0
MAL 07-17299,-24.269662,71.958542,2007,2007-07-15,Malmbjerg,Quadra FNX Mining Ltd.,2004/17,719.3
KVA 150,-45.994808,60.975986,2008,2008-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,597.15
KVA 128,-46.003728,60.965941,2008,2008-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,563.57
NAL B127,-44.84997,60.357941,2007,2007-11-27,Nalunaq,Crew Gold Corporation,2002/03,612.43
NUN 14-01,-51.287764,71.085488,2014,2014-08-20,Black Angel - Nunngarut Prospect,FBC Mining (BA) Ltd.,2008/29,986.0
ECP076,-45.871931,60.866667,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,15.37
STQ 06-27,-51.079279,64.412929,2006,2006-07-01,Storø - Qingaaq,NunaMinerals A/S,2002/07,480.77
MAL 07-12339,-24.271954,71.958109,2007,2007-08-03,Malmbjerg,Quadra FNX Mining Ltd.,2004/17,716.5
QAQ12-21,-52.174825,66.560189,2012,2012-01-01,White Mountain (Qaqortorssuaq),Hudson Resources Inc.,2002/06,428.96
IQ13-009,-52.027284,66.829453,2013,2013-07-19,Ikertoq,Northern Shield Resources Inc.,2010/17,454.9
NAL 17-03,-44.853883,60.353431,2017,2017-01-01,Nalunaq,AEX Gold Inc.,2003/05,663.0
NAL B007,-44.837942,60.356237,2006,2006-01-01,Nalunaq,Crew Gold Corporation,2002/03,299.73
GL-07-45,-50.320685,63.01069,2007,2007-09-03,Aappaluttoq,True north Gems,2006/01,230.0
