longitude,latitude,year,locality
-51.339021,66.523314,2010,Sarfartoq - ST1
-44.839297,60.355069,2006,Nalunaq
-51.335212,66.522062,2011,Sarfartoq - ST-1
-44.834563,60.353669,2018,Nalunaq
-44.840545,60.355614,2006,Nalunaq
-44.849229,60.357025,2007,Nalunaq
-44.849751,60.35784,2007,Nalunaq
-52.033829,65.102128,2015,P-053
-51.269096,66.544831,2011,Sarfartoq - ST-31
-50.973706,71.112355,2006,Black Angel - Glacier Zone
-44.842699,60.353621,2004,Nalunaq
-44.837478,60.357684,2004,Nalunaq
-44.952285,61.193576,2010,"Motzfeldt, Aries Prospect"
-51.491581,65.425221,2018,Imiak Hill G-036
-44.846508,60.35749,2006,Nalunaq
-51.564487,65.359357,2016,Fosilik P-058
-28.300676,83.087645,2010,Citronen Fjord - Beach Zone South
-49.753047,65.201422,2010,Isua (Isukasia)
-46.001645,60.969796,2008,"Ilimausaq, Kvanefjeld"
-45.997778,60.976855,2008,"Ilimausaq, Kvanefjeld"
-51.328776,66.52426,2012,Sarfartoq - ST-1
-44.847263,60.357378,2006,Nalunaq
-51.67778,65.37395,2011,Qeqertaasaq
-45.835881,60.865863,2010,"Ilimausaq, Kringlerne"
-44.84337,60.356537,2004,Nalunaq
-31.68742,68.1689,2011,Skaergaard
-51.080603,64.414062,2015,Storø - Qingaaq
-44.849726,60.357842,2007,Nalunaq
-46.010375,60.968307,2007,"Ilimausaq, Kvanefjeld"
-50.965135,71.091274,2006,Black Angel - ARK Prospect
-51.284082,66.53162,2011,Sarfartoq - ST 40 west
-50.319999,63.011297,2008,Aappaluttoq
-49.752681,65.200123,2011,Isua (Isukasia)
-44.840381,60.35554,2006,Nalunaq
-28.2199,83.110069,2008,Citronen Fjord - Northwest Zone
-51.67312,65.3776,2011,Qeqertaasaq
-24.269652,71.958534,2007,Malmbjerg
-49.754876,65.209339,2008,Isua (Isukasia)
-52.208625,66.555043,2012,White Mountain (Qaqortorssuaq)
-50.14136,65.09199,2008,Isua (Tangent)
-51.483757,65.43599,2014,Imiak Hill
-45.847809,60.867827,2010,"Ilimausaq, Kringlerne"
-51.176181,66.498059,2010,Sarfartoq - ST24
-46.000233,60.971166,2011,"Ilimausaq, Kvanefjeld"
-51.922495,65.010203,2015,P-051
-50.319059,63.010961,2008,Aappaluttoq
-45.984918,60.978863,2008,"Ilimausaq, Kvanefjeld"
-51.67459,65.37711,2011,Qeqertaasaq
-45.997372,60.973028,2011,"Ilimausaq, Kvanefjeld"
-47.434005,60.963324,2006,Isortoq South (Snoopy Lake)
-24.126672,72.185602,2011,Blyklippen
-45.924127,60.940814,2011,"Ilimausaq, Sørensen"
-51.481828,65.435313,2014,Imiak Hill
-28.249257,83.115074,2008,Citronen Fjord - Northeast Zone
-24.269367,71.956991,2005,Malmbjerg Arcturus Adit
-44.83832,60.35308,2001,Nalunaq
-51.243286,66.452289,2010,Sarfartoq - ST19
-49.760156,65.206791,2008,Isua (Isukasia)
-51.668505,65.378701,2014,Qeqertaasaq
-45.850463,60.865826,2010,"Ilimausaq, Kringlerne"
-45.958405,60.97965,2011,"Ilimausaq, Steenstrupsfjeld"
-49.75844,65.203762,2010,Isua (Isukasia)
-51.33196,66.523518,2012,Sarfartoq - ST-1
-45.870819,60.970969,2008,"Ilimausaq, Zone 3"
-44.845684,60.356625,2004,Nalunaq
-49.754906,65.199675,2010,Isua (Isukasia)
-44.834107,60.354342,2018,Nalunaq
-28.138751,83.076194,2010,Citronen Fjord - Discovery Zone
-68.811033,76.288477,2012,Havik East
-45.840301,60.865881,2010,"Ilimausaq, Kringlerne"
-50.982009,71.112123,2006,Black Angel - Glacier Zone
-51.49018,66.355823,2008,Sarfartoq
-52.170646,66.562113,2012,White Mountain (Qaqortorssuaq)
-28.452945,83.109843,2011,Citronen Fjord - Esrum Zone
-37.702391,65.575907,2005,Ammassalik
-45.868471,60.86747,2007,"Ilimausaq, Kringlerne"
-45.23338,60.52955,2009,Niaqornaarsuk Delta
-44.850462,60.35673,2008,Nalunaq
-49.744976,65.214372,2010,Isua (Isukasia)
-45.998376,60.974709,2007,"Ilimausaq, Kvanefjeld"
-44.848801,60.356038,2005,Nalunaq
-28.420856,83.099777,2010,Citronen Fjord - Esrum Zone
-22.9198,71.5752,2011,Permdal
-28.469528,83.099299,2008,Citronen Fjord - Esrum Zone
-24.269789,71.958595,2005,Malmbjerg Schuchert Adit
-45.839007,60.867801,2010,"Ilimausaq, Kringlerne"
-47.34511,60.988326,2005,Isortoq North (Discovery Dike)
-44.831753,60.354221,2005,Nalunaq
-51.276848,66.545221,2011,Sarfartoq - ST-31
-24.26788,71.959229,2007,Malmbjerg
-47.430894,60.964198,2005,Isortoq South (Snoopy Lake)
-44.84686,60.35721,2005,Nalunaq
-28.314085,83.085727,2010,Citronen Fjord - Beach Zone South
-49.757085,65.20928,2009,Isua (Isukasia)
-45.871252,60.866563,2007,"Ilimausaq, Kringlerne"
-49.750908,65.206461,2011,Isua (Isukasia)
-31.73037,68.1633,2011,Skaergaard
-51.53965,65.366126,2018,Fossilik II Snake
-51.27022,66.529543,2011,Sarfartoq - ST-40
-51.268144,66.530018,2009,Sarfartoq - ST40
-49.754023,65.208152,2010,Isua (Isukasia)
-45.87171,60.866785,2007,"Ilimausaq, Kringlerne"
-51.477309,65.445378,2016,Mikissoq P-001
-49.752529,65.207435,2011,Isua (Isukasia)
-44.848801,60.356038,2005,Nalunaq
-50.319816,63.010659,2008,Aappaluttoq
-51.751507,65.62707,2014,Pingo P-149
-44.946681,61.196357,2011,"Motzfeldt, Aries Prospect"
-51.63572,65.207741,2013,Target P-022 Sikolik East
-31.6397,68.18134,2011,Skaergaard
-51.263941,66.45404,2009,Sarfartoq - ST19
-45.871573,60.866552,2007,"Ilimausaq, Kringlerne"
-47.434564,60.961929,2012,Isortoq South
-28.311028,83.093979,2009,Citronen Fjord - Beach Zone
-45.842528,60.865858,2010,"Ilimausaq, Kringlerne"
